iso,id,region_id,name_lang1,timezone,utc,dst,geo_accuracy
UM,2037983,20188354,Bajo Nuevo Bank,Pacific/Johnston,+12:00,+12:00,LOCALITY
EE,396157,20091309,Aa,Europe/Tallinn,+02:00,+03:00,LOCALITY
TR,5962914,20178766,1 Küme mah.,Europe/Istanbul,+03:00,+03:00,LOCALITY
PE,6346710,20151641,02 de Febrero,America/Lima,-05:00,-05:00,LOCALITY
PY,12682670,20162181,1 de Junio,America/Asuncion,-04:00,-03:00,LOCALITY
GF,5887506,20103030,Apatou,America/Cayenne,-03:00,-03:00,LOCALITY
GH,11147496,20103072,Abaasa,Africa/Accra,+00:00,+00:00,LOCALITY
IR,780372,20118220,Abadan,Asia/Tehran,+03:30,+04:30,LOCALITY
HU,582282,20109409,Aba,Europe/Budapest,+01:00,+02:00,LOCALITY
GW,11228005,20107548,Abene,Africa/Bissau,+00:00,+00:00,LOCALITY
UA,3880486,20187110,Abazivka,Europe/Kiev,+02:00,+03:00,LOCALITY
BM,128024,20010268,Devonshire Parish,Atlantic/Bermuda,-04:00,-03:00,STREET
PA,3813867,20150927,Aceite,America/Panama,-05:00,-05:00,LOCALITY
AT,5275865,20002299,Aalfang,Europe/Vienna,+01:00,+02:00,LOCALITY
DE,5347691,20081112,Aach,Europe/Berlin,+01:00,+02:00,LOCALITY
SS,11316619,20175491,Abadai,Africa/Juba,+03:00,+03:00,LOCALITY
EC,394816,61109141,10 de Agosto,America/Guayaquil,-05:00,-05:00,LOCALITY
CL,289680,20023544,Abránquil,America/Santiago,-04:00,-03:00,LOCALITY
IN,11506009,20117279,1 Ps,Asia/Kolkata,+05:30,+05:30,LOCALITY
BI,118709,20007415,Agasambo,Africa/Bujumbura,+02:00,+02:00,LOCALITY
UY,4745077,20191571,18 de Julio,America/Montevideo,-03:00,-03:00,LOCALITY
GB,4029775,20102481,Ab Kettleby,Europe/London,+00:00,+01:00,LOCALITY
NF,1362938,20146068,Norfolk Island,Pacific/Norfolk,+11:00,+12:00,STREET
IL,11915966,20117172,A. Tashih Chir,Asia/Jerusalem,+02:00,+03:00,LOCALITY
MM,11251773,20140792,A Htet Su,Asia/Yangon,+06:30,+06:30,LOCALITY
MD,1058607,20138127,Abaclia,Europe/Chisinau,+02:00,+03:00,LOCALITY
RS,1685394,20165814,Ada,Europe/Belgrade,+01:00,+02:00,LOCALITY
CO,12167700,20072640,10 de Mayo Santa Bárbara,America/Bogota,-05:00,-05:00,LOCALITY
BE,107917,20006054,Aaigem,Europe/Brussels,+01:00,+02:00,LOCALITY
BV,210101,20016998,Bouvetøya,Europe/Oslo,+01:00,+02:00,LOCALITY
PF,4872048,20153696,Aakapa,Pacific/Gambier,-09:00,-09:00,LOCALITY
BY,210102,20017047,Abakumy,Europe/Minsk,+03:00,+03:00,LOCALITY
PH,1531822,20153861,1st Ave. to 7th Ave. - West,Asia/Manila,+08:00,+08:00,LOCALITY
DM,3241543,20088336,Anse de Mai,America/Dominica,-04:00,-04:00,LOCALITY
LS,12111409,20136254,Alwynskop,Africa/Maseru,+02:00,+02:00,LOCALITY
OM,12312006,20150853,15m NaturalVue,Asia/Muscat,+04:00,+04:00,LOCALITY
NZ,1431742,20150766,Abel Tasman National Park,Pacific/Auckland,+12:00,+13:00,LOCALITY
IO,769597,20118089,Danger Island,Indian/Chagos,+06:00,+06:00,LOCALITY
BA,103248,20005285,Aleksandrovac,Europe/Sarajevo,+01:00,+02:00,LOCALITY
GT,562034,20107171,Acatenango,America/Guatemala,-06:00,-06:00,LOCALITY
AF,10917227,20000019,Aaro,Asia/Kabul,+04:30,+04:30,LOCALITY
TL,1937652,20177855,1 De Setembro,Asia/Dili,+09:00,+09:00,LOCALITY
CR,341531,20073928,14 Millas,America/Costa_Rica,-06:00,-06:00,LOCALITY
MQ,5887390,20141584,Basse-Pointe,America/Martinique,-04:00,-04:00,LOCALITY
TJ,11670930,20177790,Abdan,Asia/Dushanbe,+05:00,+05:00,LOCALITY
CX,11977466,20074728,Christmas Island,Indian/Christmas,+07:00,+07:00,LOCALITY
NG,1362939,20146072,& Umuevo,Africa/Lagos,+01:00,+01:00,LOCALITY
VA,2108464,20191789,Città del Vaticano,Europe/Vatican,+01:00,+02:00,STREET
MC,1058600,61011807,Fontvieille,Europe/Monaco,+01:00,+02:00,STREET
CW,349498,20074727,Asiento,America/Curacao,-04:00,-04:00,LOCALITY
