Alias,'+13:00,'+12:00,AQ,"New Zealand time - McMurdo, South Pole",Antarctica/McMurdo,2024-10-27 02:00:00,2024-03-31 03:00:00
Alias,'+02:00,'+02:00,CD,Dem. Rep. of Congo (east),Africa/Lubumbashi,2021-03-14 04:00:00,2021-11-07 02:00:00
Alias,'+01:00,'+01:00,CD,Dem. Rep. of Congo (west),Africa/Kinshasa,2023-11-04 15:00:00,2023-03-11 17:00:00
Alias,'+02:00,'+01:00,DE,Busingen,Europe/Busingen,2022-08-25 05:00:00,2022-03-03 03:00:00
Alias,'-11:00,'-11:00,UM,Midway Islands,Pacific/Midway,2024-10-27 02:00:01,2024-03-31 03:00:01
Canonical,'+11:00,'+11:00,AQ,Casey,Antarctica/Casey,2021-03-14 04:00:01,2021-11-07 02:00:01
Canonical,'+07:00,'+07:00,AQ,Davis,Antarctica/Davis,2023-11-04 15:00:01,2023-03-11 17:00:01
Canonical,'+10:00,'+10:00,AQ,Dumont-d'Urville,Antarctica/DumontDUrville,2022-08-25 05:00:01,2022-03-03 03:00:01
Canonical,'+05:00,'+05:00,AQ,Mawson,Antarctica/Mawson,2024-10-27 02:00:02,2024-03-31 03:00:02
Canonical,'-03:00,'-03:00,AQ,Palmer,Antarctica/Palmer,2021-03-14 04:00:02,2021-11-07 02:00:02
Canonical,'-03:00,'-03:00,AQ,Rothera,Antarctica/Rothera,2023-11-04 15:00:02,2023-03-11 17:00:02
Canonical,'+03:00,'+03:00,AQ,Syowa,Antarctica/Syowa,2022-08-25 05:00:02,2022-03-03 03:00:02
Canonical,'+02:00,'+00:00,AQ,Troll,Antarctica/Troll,2024-10-27 02:00:03,2024-03-31 03:00:03
Canonical,'+06:00,'+06:00,AQ,Vostok,Antarctica/Vostok,2021-03-14 04:00:03,2021-11-07 02:00:03
Canonical,'-03:00,'-03:00,AR,"Argentina (most areas: CB, CC, CN, ER, FM, MN, SE, SF)",America/Argentina/Cordoba,2023-11-04 15:00:03,2023-03-11 17:00:03
Canonical,'-03:00,'-03:00,AR,"Buenos Aires (BA, CF)",America/Argentina/Buenos_Aires,2022-08-25 05:00:03,2022-03-03 03:00:03
Canonical,'-03:00,'-03:00,AR,Catamarca (CT); Chubut (CH),America/Argentina/Catamarca,2024-10-27 02:00:04,2024-03-31 03:00:04
Canonical,'-03:00,'-03:00,AR,Jujuy (JY),America/Argentina/Jujuy,2021-03-14 04:00:04,2021-11-07 02:00:04
Canonical,'-03:00,'-03:00,AR,La Rioja (LR),America/Argentina/La_Rioja,2023-11-04 15:00:04,2023-03-11 17:00:04
Canonical,'-03:00,'-03:00,AR,Mendoza (MZ),America/Argentina/Mendoza,2022-08-25 05:00:04,2022-03-03 03:00:04
